Speaker No.,Gender,Education,a,b,R^2,RMSE,MAE
1567,MALE,1,0.397286,1.181556,0.943667,0.024127,0.018824
1140,MALE,2,0.353893,1.128257,0.91448,0.02119,0.016172
1410,FEMALE,2,0.333379,1.069813,0.931624,0.019893,0.016733
1258,MALE,2,0.375522,1.183924,0.911205,0.022142,0.012641
1423,FEMALE,2,0.408812,1.258675,0.905638,0.02433,0.012993
1142,MALE,2,0.359265,1.12676,0.922632,0.021552,0.018181
1233,FEMALE,3,0.330827,1.100516,0.916871,0.019002,0.011354
1558,MALE,2,0.463111,1.312809,0.956152,0.028353,0.020013
1370,MALE,2,0.382325,1.187498,0.947474,0.022318,0.013362
1238,FEMALE,2,0.358151,1.177233,0.91171,0.020669,0.010758
1033,FEMALE,1,0.357737,1.110463,0.9479,0.02057,0.016229
1371,FEMALE,2,0.398397,1.223963,0.929898,0.022988,0.015934
1455,FEMALE,2,0.288235,1.003242,0.928754,0.016353,0.012767
1552,MALE,2,0.417685,1.22642,0.94694,0.024129,0.020372
1075,FEMALE,2,0.376311,1.170377,0.944696,0.021157,0.015584
1120,FEMALE,2,0.391418,1.22446,0.915609,0.022006,0.012169
1286,FEMALE,1,0.336351,1.09084,0.936272,0.018912,0.014926
1537,MALE,3,0.343586,1.101766,0.936671,0.01955,0.015964
1481,FEMALE,1,0.385516,1.216839,0.911809,0.021437,0.011513
1600,FEMALE,2,0.463312,1.337416,0.957119,0.026629,0.018418
1424,MALE,2,0.34978,1.127651,0.93815,0.019521,0.012019
1443,FEMALE,2,0.356664,1.138292,0.932875,0.019681,0.014298
1580,FEMALE,2,0.329876,1.076174,0.943012,0.018213,0.012542
1463,MALE,2,0.356135,1.107839,0.94732,0.020283,0.017253
1376,MALE,2,0.329297,1.078497,0.941465,0.01792,0.013045
1458,MALE,3,0.70449,1.753112,0.979811,0.038623,0.03272
1091,FEMALE,1,0.379878,1.176799,0.945017,0.020958,0.01479
1281,FEMALE,3,0.399561,1.249806,0.934007,0.022135,0.012847
1662,MALE,2,0.437694,1.329314,0.949002,0.024291,0.014406
1047,MALE,2,0.326604,1.071819,0.941481,0.017551,0.013604
1495,FEMALE,2,0.381873,1.193655,0.952608,0.020369,0.013019
1518,FEMALE,2,0.440035,1.182277,0.969244,0.023431,0.02246
1219,MALE,2,0.409513,1.192466,0.960683,0.021942,0.018526
1174,MALE,2,0.335052,1.103716,0.930586,0.01728,0.012788
1092,MALE,2,0.384343,1.190526,0.937949,0.020258,0.015178
1264,FEMALE,2,0.399669,1.224541,0.93255,0.02103,0.015028
1412,FEMALE,2,0.354027,1.120137,0.946247,0.018478,0.014851
1343,MALE,3,0.377539,1.17072,0.946005,0.019683,0.016007
1350,MALE,2,0.36467,1.121812,0.955834,0.019,0.016825
1620,FEMALE,3,0.443156,1.212678,0.973799,0.02154,0.017988
1285,FEMALE,2,0.362707,1.145187,0.944544,0.018101,0.015818
1478,MALE,3,0.30525,1.03465,0.950193,0.015007,0.011053
1115,MALE,2,0.375546,1.175002,0.945024,0.018844,0.015203
1135,FEMALE,2,0.395085,1.206702,0.951514,0.019737,0.01493
1355,MALE,3,0.387354,1.182885,0.96049,0.019642,0.014714
1606,MALE,2,0.420388,1.281166,0.958844,0.021714,0.016488
1124,MALE,3,0.385513,1.204001,0.940086,0.018803,0.014194
1531,MALE,2,0.366733,1.166817,0.945623,0.018249,0.013556
1514,FEMALE,2,0.329777,1.113495,0.947202,0.016055,0.010043
1073,MALE,3,0.376476,1.182697,0.93916,0.018343,0.014508
1585,MALE,2,0.343607,1.089158,0.95869,0.016869,0.015401
1132,FEMALE,3,0.418156,1.270953,0.944472,0.020558,0.01397
1405,FEMALE,2,0.265521,0.923182,0.958895,0.01239,0.010659
1446,MALE,2,0.392513,1.241188,0.944882,0.018631,0.011219
1664,MALE,3,0.403546,1.325277,0.964908,0.01947,0.015332
1252,FEMALE,2,0.342165,1.121175,0.945022,0.015896,0.012809
1100,FEMALE,3,0.35075,1.093176,0.964522,0.016486,0.014576
1674,FEMALE,1,0.433676,1.280246,0.967216,0.020572,0.01717
1059,MALE,2,0.351184,1.150352,0.945578,0.016515,0.012119
1512,FEMALE,1,0.345069,1.121448,0.964522,0.015414,0.009405
1229,FEMALE,3,0.343537,1.13539,0.942931,0.015635,0.0119
1388,MALE,3,0.366186,1.148981,0.963056,0.016656,0.014647
1288,MALE,3,0.466941,1.359592,0.966158,0.0216,0.018863
1493,FEMALE,2,0.425966,1.282033,0.958473,0.019484,0.015275
1435,MALE,2,0.365071,1.166235,0.962571,0.017086,0.013571
1690,MALE,2,0.506105,1.499331,0.977066,0.023057,0.015983
1353,MALE,3,0.362859,1.168364,0.954708,0.015903,0.011231
1121,MALE,2,0.386768,1.224186,0.96458,0.017013,0.010371
1682,MALE,2,0.428997,1.257022,0.97239,0.019076,0.016912
1527,MALE,2,0.3186,1.115041,0.96142,0.01454,0.010591
1292,FEMALE,3,0.365481,1.170187,0.955524,0.015882,0.011744
1303,FEMALE,3,0.428991,1.326407,0.961715,0.018918,0.01173
1587,MALE,2,0.554454,1.614122,0.980698,0.024469,0.018481
1438,MALE,3,0.373523,1.196079,0.955623,0.015912,0.012713
1054,MALE,3,0.541126,2.067222,0.966201,0.024034,0.018721
1152,FEMALE,2,0.385066,1.223348,0.956693,0.016138,0.010927
1592,MALE,3,0.395376,1.228875,0.966859,0.016613,0.013981
1695,FEMALE,2,0.438973,1.260712,0.977523,0.018455,0.016078
1524,MALE,2,0.338127,1.133305,0.962831,0.014627,0.011301
1604,MALE,2,0.376765,1.161554,0.971362,0.015859,0.014671
1251,FEMALE,2,0.37518,1.17994,0.962804,0.015531,0.013529
1533,MALE,3,0.327601,1.099492,0.957126,0.013355,0.011469
1449,MALE,2,0.352768,1.121913,0.973529,0.014261,0.010195
1026,FEMALE,2,0.39837,1.240036,0.960049,0.015807,0.012251
1255,MALE,3,0.43629,1.311553,0.97455,0.017297,0.012301
1148,FEMALE,3,0.403402,1.242041,0.960468,0.015944,0.012235
1179,FEMALE,2,0.397643,1.260343,0.956138,0.016023,0.011588
1471,MALE,3,0.358731,1.089283,0.977448,0.014074,0.012987
1397,FEMALE,3,0.372396,1.172305,0.973099,0.014552,0.010226
1467,MALE,3,0.401201,1.216751,0.97705,0.015943,0.012598
1010,MALE,1,0.470202,1.470873,0.978881,0.018994,0.013609
1013,FEMALE,2,0.371082,1.212563,0.95539,0.014433,0.009213
1291,FEMALE,3,0.383236,1.22258,0.966868,0.014563,0.011083
1312,MALE,3,0.420255,1.482155,0.970821,0.016826,0.013393
1021,MALE,3,0.286134,1.012786,0.971763,0.010328,0.007733
1425,MALE,2,0.336738,1.12889,0.966171,0.012342,0.010273
1464,MALE,2,0.281474,1.013871,0.966401,0.010259,0.009221
1176,FEMALE,2,0.383114,1.208133,0.969639,0.01399,0.011093
1083,FEMALE,2,0.397039,1.256425,0.96381,0.014489,0.0104
1279,MALE,2,0.442358,1.331076,0.968266,0.01637,0.012088
1669,FEMALE,2,0.450742,1.313646,0.981008,0.016584,0.015257
1466,FEMALE,2,0.333563,1.135671,0.967502,0.012054,0.008807
1024,MALE,2,0.374698,1.245754,0.960637,0.014007,0.008884
1497,MALE,2,0.532481,1.576658,0.984352,0.019749,0.014935
1703,MALE,3,0.423454,1.219769,0.983206,0.015504,0.012078
1055,FEMALE,2,0.443526,1.343792,0.967599,0.015588,0.010932
1633,MALE,3,0.624162,2.02845,0.986433,0.02252,0.017092
1474,MALE,3,0.499443,1.49876,0.984491,0.018115,0.012664
1373,FEMALE,2,0.487317,1.630152,0.975399,0.017898,0.010667
1377,FEMALE,2,0.409131,1.270301,0.975584,0.014626,0.011342
1001,MALE,3,0.413809,1.327498,0.971025,0.01489,0.011084
1515,MALE,2,0.431398,1.349012,0.982247,0.015152,0.010873
1056,MALE,3,0.42784,1.344351,0.972661,0.014518,0.008663
1366,FEMALE,2,0.389786,1.243539,0.972927,0.013302,0.009784
1349,FEMALE,3,0.426925,1.360583,0.965038,0.014298,0.00736
1684,FEMALE,1,0.413012,1.220742,0.986107,0.013317,0.009472
1680,FEMALE,3,0.678598,2.732035,0.984763,0.023165,0.019961
1089,FEMALE,2,0.398737,1.214395,0.985636,0.012798,0.009355
1450,FEMALE,3,0.58844,1.875825,0.987789,0.019893,0.015864
1105,FEMALE,3,0.429333,1.35662,0.969598,0.014682,0.010639
1503,MALE,2,0.50865,1.485844,0.9821,0.016857,0.014285
1469,FEMALE,2,0.339511,1.125102,0.978494,0.010993,0.00983
1480,FEMALE,3,0.46045,1.402418,0.974684,0.014771,0.010222
1408,FEMALE,2,0.54031,1.794689,0.981764,0.017921,0.011132
1106,FEMALE,2,0.365358,1.19937,0.972587,0.011745,0.010162
1344,FEMALE,3,0.479468,1.404975,0.986425,0.0152,0.011904
1413,MALE,2,0.357605,1.178283,0.977542,0.01112,0.009662
1052,MALE,2,0.381482,1.243467,0.971226,0.011886,0.007956
1539,MALE,2,0.432678,1.332926,0.979479,0.013375,0.010318
1093,FEMALE,2,0.336898,1.150644,0.973167,0.010355,0.008201
1072,FEMALE,2,0.411151,1.294816,0.976092,0.012723,0.009299
1502,FEMALE,3,0.55438,1.521489,0.991266,0.016701,0.014844
1361,FEMALE,2,0.412783,1.326347,0.975868,0.012913,0.008712
